artist,album,danceability,energy,acousticness,loudness,anger,joy,sadness,surprise
Conor Oberst and the Mystic Valley Band,Outer South,0.438,0.75425,0.138701875,-5.8710625,0.262677178,0.242616308,0.251978929,0.242727584
Great Northern,Remind Me Where the Light Is,0.405272727,0.693363636,0.151574091,-7.546090909,0.242566211,0.220357026,0.248686307,0.288390455
Crocodiles,Summer of Hate,0.4586,0.7132,0.244303198,-7.7829,0.276946728,0.219017922,0.313387984,0.190647367
The Life and Times,Tragic Boogie,0.310916667,0.871166667,0.084675633,-6.172583333,0.250085777,0.275637447,0.24915124,0.225125536
Vetiver,To Find Me Gone,0.532166667,0.424416667,0.478525,-12.343,0.232973653,0.2449805,0.278940854,0.243104993
Johnny Cash,Personal File,0.598653061,0.107530612,0.916489796,-14.37283673,0.222841579,0.242293953,0.297920546,0.236943922
Human Television,Look at Who You're Talking To,0.465916667,0.61825,0.064217402,-6.969083333,0.227681036,0.221461643,0.262278853,0.288578468
Ane Brun,A Temporary Dive,0.484636364,0.199109091,0.843545455,-14.32581818,0.229066768,0.236519555,0.283857925,0.250555752
Hot Chip,The Warning,0.75025,0.62775,0.087699167,-6.976583333,0.227326926,0.281323049,0.252521904,0.238828121
The Black Angels,Passover,0.4328,0.75221,0.0561681,-7.4475,0.274362672,0.229068698,0.243107421,0.253461208
Shearwater,Animal Joy,0.560454545,0.686545455,0.246848727,-7.715272727,0.219852861,0.262727476,0.245796108,0.271623555
Heartless Bastards,Arrow,0.5055,0.6529,0.1827122,-6.2557,0.230713269,0.247548536,0.279511235,0.24222696
Alcest,Les Voyages de l'Âme,0.25625,0.706875,0.12376,-8.396125,0.23011892,0.237177043,0.24505198,0.287652057
Islands,A Sleep & a Forgetting,0.524416667,0.4465,0.468106667,-9.8355,0.234935951,0.248243423,0.260756553,0.256064073
Sea Lions,Everything You Always Wanted to Know About Sea Lions But Were Afraid to Ask,0.4242,0.889533333,0.39426,-5.7436,0.197007412,0.284557667,0.280692163,0.237742758
Lil B,White Flame,0.56505,0.7145,0.266533,-5.9007,0.372118422,0.210524691,0.241457903,0.175898985
Howe Gelb,The Listener,0.584461538,0.321276923,0.636846154,-13.62307692,0.225302786,0.28602158,0.265811672,0.222863961
Blur,Think Tank,0.628925926,0.571037037,0.280640167,-8.599222222,0.267776493,0.27197806,0.243672954,0.216572493
Corin Tucker Band,"1,000 Years",0.441,0.638272727,0.466336364,-7.769545455,0.224199433,0.223398068,0.281301713,0.271100787
