id,artist,album,album_art,top_emotion,id1,id2,id3,id4,id5
0,Conor Oberst and the Mystic Valley Band,Outer South,https://i.scdn.co/image/ab67616d0000b273e0c7cd74e01a1dda5cc4746f,anger,7807,3780,1500,5733,4996
1,Great Northern,Remind Me Where the Light Is,https://i.scdn.co/image/ab67616d0000b273e09ec7ffd0af8e6ce85c8235,surprise,9442,7513,9150,2602,5595
2,Crocodiles,Summer of Hate,https://i.scdn.co/image/ab67616d0000b273e86442124b1165dd67716d76,sadness,625,1144,2593,6170,3221
3,The Life and Times,Tragic Boogie,https://i.scdn.co/image/ab67616d0000b273d322587f282b6dce20690856,joy,2779,9314,4212,3217,23
4,Vetiver,To Find Me Gone,https://i.scdn.co/image/ab67616d0000b273936c1a4d55dbadd2bf621207,sadness,1533,8100,7000,1521,10250
5,Johnny Cash,Personal File,https://i.scdn.co/image/ab67616d0000b273e946530d2d0d19eb55dd1ce7,sadness,5759,4554,10479,3141,7924
6,Human Television,Look at Who You're Talking To,https://i.scdn.co/image/ab67616d0000b2733640b3f0d5db7cc776fdd80f,surprise,1763,5012,1098,9595,7315
7,Ane Brun,A Temporary Dive,https://i.scdn.co/image/ab67616d0000b273c7f102a934ac77400b52f41c,sadness,2494,4197,5645,6922,7382
8,Hot Chip,The Warning,https://i.scdn.co/image/ab67616d0000b273827991a336e5a5860865921f,joy,10670,10566,5540,7022,9715
9,The Black Angels,Passover,https://i.scdn.co/image/ab67616d0000b273cbe4c9e2f92aa32844b78acd,anger,9681,6032,5031,7647,4283
10,Shearwater,Animal Joy,https://i.scdn.co/image/ab67616d0000b27389f0f12fd28651ec8e5a7a8a,surprise,7564,5506,6981,3175,8608
11,Heartless Bastards,Arrow,https://i.scdn.co/image/ab67616d0000b2737a75155128d3e79aa8a30701,sadness,3695,1565,294,8340,9010
12,Alcest,Les Voyages de l'Âme,https://i.scdn.co/image/ab67616d0000b2739fa82cf8515e7539291a7d8e,surprise,2412,1426,9049,3343,1053
13,Islands,A Sleep & a Forgetting,https://i.scdn.co/image/ab67616d0000b27380f62dfce354dcda44c67983,sadness,7393,1427,10164,9175,9512
14,Sea Lions,Everything You Always Wanted to Know About Sea Lions But Were Afraid to Ask,https://i.scdn.co/image/ab67616d0000b273e1c5943142f46bbb8ccb1d68,joy,6116,3367,3427,7559,2594
15,Lil B,White Flame,https://i.scdn.co/image/ab67616d0000b273940c9831b860e38355910362,anger,4859,4495,6387,9120,2970
16,Howe Gelb,The Listener,https://i.scdn.co/image/ab67616d0000b2735c914251f3e363ad56c5c285,joy,5276,9745,378,4052,5775
17,Blur,Think Tank,https://i.scdn.co/image/ab67616d0000b273f43281c950ff24b1b80b16a7,joy,766,9341,2884,9598,6726
18,Corin Tucker Band,"1,000 Years",https://i.scdn.co/image/ab67616d0000b273e5a078f34ff224764b8c593a,sadness,4884,7482,3667,7093,6297
19,Salem,King Night,https://i.scdn.co/image/ab67616d0000b2732651ef75be6717290e6c48cf,sadness,2293,5025,2275,5107,1705
20,Grass Widow,Past Time,https://i.scdn.co/image/ab67616d0000b27387ce9f84cb82c31b934d9b10,surprise,2012,8842,10544,10555,3427
21,The Pack,Wolfpack Party,https://i.scdn.co/image/ab67616d0000b273177021686ca08f50032e139f,anger,8166,8569,7145,7809,6683
22,Sharon Van Etten,Epic,https://i.scdn.co/image/ab67616d0000b2738c73ffae872bd99100e51cdb,joy,8410,4778,10679,4797,3433
23,Marnie Stern,Marnie Stern,https://i.scdn.co/image/ab67616d0000b273ac17bd6c5bbb565a5f3e504d,joy,3217,10018,3528,10801,1671
24,Idaho,We Were Young and Needed the Money,https://i.scdn.co/image/ab67616d0000b2731d4368eab4f9d7b014d169cd,sadness,1555,977,8552,10698,4400
25,Seelenluft,Out of the Woods,https://i.scdn.co/image/ab67616d0000b27312ab197c9191924f85e87aca,sadness,10989,9187,10034,5663,8923
26,Gardens & Villa,Dunes,https://i.scdn.co/image/ab67616d0000b2738e1b1cc65e1440d03e6c14ee,joy,4798,6883,1077,7344,6096
27,Have a Nice Life,The Unnatural World,https://i.scdn.co/image/ab67616d0000b2737d28c90343e90dd1d816ec50,sadness,686,4940,468,4909,789
28,Woodsman,Woodsman,https://i.scdn.co/image/ab67616d0000b2736c7dbe2f1d8538bc14f9c662,sadness,2097,8584,5167,4443,3199
29,Xiu Xiu,Angel Guts: Red Classroom,https://i.scdn.co/image/ab67616d0000b273894fa8db943aa614c077e486,anger,5531,7076,8611,9954,542
30,Wovenhand,The Threshingfloor,https://i.scdn.co/image/ab67616d0000b273c795546f119643de9ffb092c,joy,6154,8722,6989,8552,3648
31,Actress,Splazsh,https://i.scdn.co/image/ab67616d0000b27391bca9b823612d86ec69bb68,joy,4114,10019,2587,2073,2349
32,Laurie Anderson,Homeland,https://i.scdn.co/image/ab67616d0000b2736c101467832e76c1be95f59c,joy,1190,7659,1301,6266,8618
33,Stars,The Five Ghosts,https://i.scdn.co/image/ab67616d0000b273256e1b2bb1014e41954196e9,anger,9061,3884,5531,1380,2135
34,Sia,We Are Born,https://i.scdn.co/image/ab67616d0000b273b0800f5459969cb9c086254b,joy,6469,7630,4658,2775,7297
35,Sparta,Threes,https://i.scdn.co/image/ab67616d0000b273e65aabea005c82c7259ec43e,sadness,733,3974,9431,7965,2859
